Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
Contratexto,1025-9945,1993-4904,"Portuguese, English, Spanish",Universidad de Lima,No,CC BY,No
Anthropologica,0254-9212,2224-6428,Spanish,Pontificia Universidad Católica del Perú,No,CC BY-NC,No
CorSalud,,2078-7170,"Spanish, English",Cardiocentro Ernesto Che Guevara,No,Publisher's own license,No
Journal of Techno-Social,2229-8940,,"English, Malay (macrolanguage)",Penerbit UTHM,No,Publisher's own license,No
Władza Sądzenia,,2300-1690,Polish,Katedra Socjologii Polityki i Moralności Wydział Ekonomiczno-Socjologiczny Uniwersytet Łódzki,No,CC BY-NC-SA,No
Boletim do Observatório Ambiental Alberto Ribeiro Lamego,1981-6197,2177-4560,"English, Portuguese, Spanish",Essentia Editora,No,CC BY,No
JINOP (Jurnal Inovasi Pembelajaran),2443-1591,2460-0873,"English, Indonesian",Universitas Muhammadiyah Malang,No,CC BY,No
Noctua,,2284-1180,"Spanish, Portuguese, Italian, German, French, English",E-theca OnLineOpenAccess Edizioni,No,CC BY,No
Bulletin of the International Association for Paleodontology,,1846-6273,English,International Association for Paleodontology,No,CC BY-NC-ND,No
Riset Akuntansi dan Keuangan Indonesia,,2541-6111,"English, Indonesian",Muhammadiyah University Press,No,CC BY-NC-SA,No
Jurnal Veteriner,1411-8327,,"Indonesian, English",Universitas Udayana,No,CC BY,Yes
Farmacéuticos Comunitarios,1885-8619,2173-9218,Spanish,SEFAC,No,CC BY-NC-ND,No
Interação em Psicologia,1981-8068,1981-8076,"English, Portuguese",Universidade Federal do Paraná,No,CC BY-NC,No
Jurnal Keuangan dan Perbankan,1410-8089,2443-2687,"English, Indonesian",Universitas Merdeka Malang,No,CC BY-SA,No
Journal of Breast Cancer,1738-6756,2092-9900,"English, Korean",Se Jeong Oh,No,CC BY-NC,Yes
حسابداری سلامت,2252-0473,2252-0546,Persian,Shiraz University of Medical Sciences,No,CC BY-NC-ND,No
International Series on Information Systems and Management in Creative eMedia,,2341-5576,English,International Ambient Media Association (iAMEA),No,CC BY-NC-ND,No
Jurnal Benefita,,2477-7862,Indonesian,Lembaga Layanan Pendidikan Tinggi Wilayah X,No,CC BY,Yes
Bearing Witness: Joyce Carol Oates Studies,,2373-275X,English,University of San Francisco,No,CC BY,No
Ihtifaz,2622-4755,2622-4798,"English, Indonesian",Universitas Ahmad Dahlan,No,CC BY-SA,No
Jurnal Linguistik Komputasional,,2621-9336,"English, Indonesian",Indonesia Association of Computational Linguistics (INACL),No,CC BY-NC-SA,No
Huellas,0329-0573,2362-5643,"Portuguese, Spanish",Universidad Nacional de La Pampa. Facultad de Ciencias Humanas,No,CC BY-NC-SA,No
History of Science in South Asia,,2369-775X,"English, Sanskrit",University of Alberta,No,CC BY-SA,No
Jurnal Kawistara,2088-5415,2355-5777,"English, Indonesian",Universitas Gadjah Mada,No,CC BY-SA,Yes
"International Journal of Aviation, Aeronautics, and Aerospace",,2374-6793,English,Embry-Riddle Aeronautical University,No,CC BY-NC-ND,No
Comunicologia,,1981-2132,Portuguese,Universidade Católica de Brasília,No,CC BY,No
Revista de Ciencia y Tecnología,0329-8922,1851-7587,"English, Portuguese, Spanish",Universidad Nacional de Misiones,No,CC BY-NC,No
Universidad y Empresa,0124-4639,2145-4558,"English, Spanish",Universidad del Rosario,No,CC BY-NC,No
Vìsnik Odesʹkogo Nacìonalʹnogo Unìversitetu: Hìmìâ,2304-0947,2414-5963,"English, Russian, Ukrainian",Odessa I. I. Mechnikov National University,No,CC BY-SA,No
Revista Nacional de Administración,1659-4908,1659-4932,Spanish,Universidad Nacional de Educación a Distancia (UNED),No,CC BY,No
Iatreia,0121-0793,2011-7965,Spanish,Universidad de Antioquia,No,CC BY-NC-SA,No
Novum,0121-5698,2357-4933,Spanish,Universidad Nacional de Colombia,No,CC BY-NC-SA,No
Al-Ta'rib,2354-5887,2655-5867,"Arabic, English, Indonesian",Institut Agama Islam Negeri (IAIN) Palangka Raya,No,CC BY-SA,No
"Naukovij Vìsnik Nacìonalʹnogo Unìversitetu Bìoresursìv ì Prirodokoristuvannâ Ukraïni. Serìâ: Ekonomìka, Agrarnij Menedžment ta Bìznes",2222-8586,2415-7627,"English, Russian, Ukrainian",National University of Life and Environmental Sciences of Ukraine,No,CC BY-NC-SA,Yes
