Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
Logista: Jurnal Ilmiah Pengabdian Kepada Masyarakat,2579-6283,2655-951X,Indonesian,Jurusan Teknologi Hasil Pertanian FTP Universitas Andalas,No,CC BY-NC,Yes
WikiJournal of Medicine,,2002-4436,English,WikiJournal User Group,No,"CC BY, CC BY-SA, CC0",No
The Global Psychotherapist,,2710-1460,"Ukrainian, Russian, English",WAPP,No,CC BY,No
Polarforschung,0032-2490,2190-1090,"English, German",Copernicus Publications,Yes,CC BY,No
Tydskrif vir Letterkunde,0041-476X,2309-9070,"Afrikaans, Dutch, English, French",Tydskrif vir Letterkunde Association,No,CC BY-SA,Yes
Nordic Journal of STEM Education,,2535-4574,"English, Danish, Swedish, Norwegian",NTNU Open Access Journals,No,CC BY,No
Archivo Español de Arqueología,0066-6742,1988-3110,"English, Spanish",Consejo Superior de Investigaciones Científicas,No,CC BY,No
Journal of Higher Education Policy and Leadership Studies,,2717-1426,English,Ali Khorsandi Taskoh,No,CC BY-NC,No
Revista Chilena de Literatura,0048-7651,0718-2295,Spanish,Universidad de Chile,No,CC BY-NC-ND,No
Essays in French Literature and Culture,1835-7040,,"English, French",The University of Western Australia,No,CC BY-NC-ND,No
Geografares,1518-2002,2175-3709,"French, Portuguese, Spanish",Editora da Geografia,No,CC BY,No
Studia Anglica Posnaniensia,0081-6272,2082-5102,English,Sciendo,No,CC BY-NC-ND,No
Revista Sociedade & Natureza,0103-1570,1982-4513,"Portuguese, English, Spanish",Editora da Universidade Federal de Uberlândia,No,CC BY,No
Cadernos de Estudos Lingüísticos,0102-5767,2447-0686,Portuguese,Universidade Estadual de Campinas,No,CC BY-NC,No
Cleaner Production Letters,,2666-7916,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
JPFT (Jurnal Pendidikan Fisika dan Teknologi),2614-5618,2407-6902,"English, Indonesian",Program Studi Pendidikan Fisika FKIP Universitas Mataram,No,CC BY-SA,Yes
Ahmar Metastasis Health Journal,2797-6483,2797-4952,"English, Indonesian",Yayasan Ahmad Mansyur Nasirah,No,CC BY-SA,Yes
Pesquisa Agropecuária Brasileira,0100-204X,1678-3921,"Spanish, Portuguese, English",Embrapa Informação Tecnológica,No,CC BY,No
Política y Estrategia,0716-7415,0719-8027,"English, Spanish",Academia Nacional de Estudios Políticos y Estratégicos,No,CC BY,No
Българско е-Списание за Археология,,1314-5088,"English, Bulgarian",Association of Bulgarian Archaeologists,No,CC BY-NC-ND,No
Cirugía y Cirujanos,0009-7411,2444-054X,"English, Spanish",Permanyer,No,CC BY-NC-ND,No
Arhiv za farmaciju,0004-1963,2217-8767,Serbian,"Pharmaceutical Association of Serbia, Belgrade, Serbia",No,CC BY-SA,No
Ekonomski Anali,0013-3264,1820-7375,English,"Faculty of Economics, Belgrade",No,CC BY-NC-ND,No
Croatica Chemica Acta,0011-1643,1334-417X,English,Croatian Chemical Society,No,CC BY,No
Телекинет,,2618-9313,Russian,Телекинет,No,CC BY-NC-ND,No
Foundations of Computing and Decision Sciences,,2300-3405,English,Sciendo,No,CC BY-NC-ND,No
Fisioterapia em Movimento,0103-5150,1980-5918,English,Editora Champagnat,No,CC BY,Yes
Nova Economia,0103-6351,,"Spanish, Portuguese, English",Universidade Federal de Minas Gerais,No,CC BY,No
Journal of Global Health Economics and Policy,,2806-6073,English,International Society of Global Health,No,CC BY,Yes
Jurnal Inovasi Pendidikan dan Pembelajaran Sekolah Dasar,2622-5069,2579-3403,"Indonesian, English",Universitas Negeri Padang,No,CC BY,Yes
POCUS Journal,,2369-8543,English,CINQUILL Medical Publishers Inc.,No,CC BY,No
Ahmar Metakarya,2807-3797,2807-3576,"English, Indonesian",Yayasan Ahmad Mansyur Nasirah,No,CC BY-SA,Yes
Уфимский археологический вестник,1814-1692,2782-2842,"English, Russian","Russian Academy of Sciences, Ufa Federal Research Center",No,CC BY,No
Vetor,0102-7352,2358-3452,"English, Portuguese",Universidade Federal do Rio Grande,No,CC BY-NC-ND,No
Actualidades en Psicología,0258-6444,2215-3535,Spanish,Universidad de Costa Rica,No,CC BY-NC-ND,No
KONA Powder and Particle Journal,0288-4534,2187-5537,English,Hosokawa Powder Technology Foundation,No,CC BY,No
Revista Facultad Nacional de Agronomía Medellín,0304-2847,2248-7026,English,"Universidad Nacional de Colombia, Sede Medellín",No,CC BY-NC-ND,No
Synthesis (La Plata),0328-1205,1851-779X,"Spanish, Portuguese, French, English",Universidad Nacional de La Plata,No,CC BY-NC-SA,No
"Ciencia, Docencia y Tecnología",0327-5566,1851-1716,"Portuguese, Spanish",Universidad Nacional de Entre Ríos,No,CC BY-NC-SA,No
Industrija,0350-0373,2334-8526,"Serbian, English","Economics institute, Belgrade",No,CC BY-SA,No
Filozofska Istraživanja,0351-4706,1848-2309,Croatian,Croatian Philosophical Society,No,CC BY-NC,No
"Zbornik Radova: Elektrotehnički Institut ""Nikola Tesla""",0350-8528,2406-1212,"Serbian, English",Electrical Engineering Institute Nikola Tesla,No,CC BY,No
Praxis Medica,0350-8773,2560-3310,"Serbian, English","Medicinski fakultet Priština, Društvo lekara Kosova i Metohije Srpskog lekarskog društva",No,CC BY,No
Istorija 20. Veka,0352-3160,2560-3647,"Serbian, Russian, German, French, English",Institut za Savremenu Istoriju,No,CC BY-NC-ND,No
Chemical and Biochemical Engineering Quarterly,0352-9568,1846-5153,English,Croatian Society of Chemical Engineers,No,CC BY,No
Revenue,2715-825X,2829-2944,"English, Indonesian","Islamic Business Management Program, Faculty of Islamic Economics and Business, UIN Raden Intan Lampung",No,CC BY,No
"Arid Zone Journal of Engineering, Technology and Environment",,2545-5818,English,University of Maiduguri,No,CC BY-NC-ND,Yes
Archiwum Filozofii Prawa i Filozofii Społecznej,2082-3304,,"Polish, English",Stowarzyszenie Filozofii Prawa i Filozofii Społecznej – Sekcja Polska IVR,No,CC BY-NC-ND,No
Тазовая хирургия и онкология,2686-9594,,Russian,"“ABV-press” Publishing house”, LLC",Yes,CC BY,No
Bulletin of Integrative Psychiatry,1453-7257,,"English, Romanian",Sedcom Libris,No,CC BY,No
Visualidades,1679-6748,2317-6784,"English, Portuguese, Spanish",Universidade Federal de Goiás,No,CC BY,No
Communications in Combinatorics and Optimization,2538-2128,2538-2136,English,Azarbaijan Shahide Madani University,No,CC BY-SA,No
Revista de Geografía Espacios,0719-0573,0719-7209,"Portuguese, Spanish",Universidad Academia de Humanismo Cristiano,No,CC BY-NC-ND,No
Наукові праці Лісівничої академії наук України,1991-606X,2616-5015,"English, Russian, Ukrainian",Ukrainian National Forestry University,No,CC BY,Yes
Людина і довкілля: Проблеми неоекології,1992-4224,2415-7678,Ukrainian,V. N. Karazin Kharkiv National University,No,CC BY,No
Вісник Харківського національного університету імені В. Н. Каразіна Серія: «Право»,2075-1834,,"English, Russian, Ukrainian",V. N. Karazin Kharkiv National University,No,CC BY,No
Qualitative Studies,,1903-7031,English,State Library & Aalborg University,No,Publisher's own license,No
Revista Multitexto,2316-4484,,Portuguese,Universidade Estadual de Montes Claros,No,CC BY-NC-ND,No
Український журнал серцево-судинної хірургії,2664-5963,2664-5971,"English, Russian, Ukrainian",Professional Edition Eastern Europe,No,CC BY-SA,No
Scientific Drilling,1816-8957,1816-3459,English,Copernicus Publications,Yes,CC BY,No
Caminhos da História,1517-3771,2317-0875,Portuguese,Universidade Estadual de Montes Claros,No,CC BY-NC-ND,No
Beoiberistika,,2560-4163,Spanish,"University of Belgrade, Faculty of Philology",No,CC BY-SA,No
Brazilian Journal of Oceanography,1679-8759,1982-436X,English,Universidade de São Paulo,No,CC BY-NC,No
Annals of Pediatric Endocrinology & Metabolism,2287-1012,2287-1292,English,Korean Society of Pediatric Endocrinology,No,CC BY-NC,No
Qualifizierung für Inklusion,,2699-2477,German,"Prof. Dr. Dieter Katzenbach, Prof. Dr. Michael Urban",No,CC BY-ND,No
Системи обробки інформації,1681-7710,2518-1696,"English, Russian, Ukrainian",Ivan Kozhedub Kharkiv National Air Force University,No,CC BY,Yes
"Revista Latinoamericana en Ciencias Sociales, Niñez y Juventud",1692-715X,2027-7679,"English, Portuguese, Spanish",Universidad de Manizales,No,CC BY-NC-ND,No
Claraboia,,2357-9234,Portuguese,Universidade Estadual do Norte do Paraná,No,CC BY-NC-SA,No
Ciencia UNEMI,1390-4272,2528-7737,"English, Spanish",Universidad Estatal de Milagro,No,CC BY,No
Jurnal Pembangunan dan Alam Lestari,2087-3522,2338-1671,"English, Indonesian",University of Brawijaya,No,CC BY,Yes
Revista Brasileira de Odontologia,0034-7272,1984-3747,English,Associação Brasileira de Odontologia,No,CC BY,No
Terr@ Plural,,1982-095X,"English, Portuguese, Spanish",Universidade Estadual de Ponta Grossa,No,CC BY-NC-ND,No
"Revista de Direitos Sociais, Seguridade e Previdência Social",,2525-9865,Portuguese,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),No,CC BY-NC,No
Central and Eastern European Migration Review,,2300-1682,English,"Centre of Migration Research, University of Warsaw, and Polish Academy of Sciences",No,CC BY,No
"Proceedings of the American Mathematical Society, Series B",,2330-1511,English,American Mathematical Society,No,CC BY-NC,Yes
Dikê,,2594-0708,Spanish,Benemérita Universidad Autónoma de Puebla,No,CC BY-NC-SA,No
Therya,,2007-3364,"English, Spanish",Asociacion Mexicana de Mastozoología A.C.,No,CC BY-NC-ND,No
Revista Rupturas,2215-2989,2215-2466,Spanish,Universidad Estatal a Distancia,No,CC BY-NC-SA,No
Translation and Interpreting : the International Journal of Translation and Interpreting Research,,1836-9324,English,Western Sydney University,No,CC BY,No
Rocznik Andragogiczny,1429-186X,2391-7571,"English, German, Polish",Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika,No,CC BY-ND,No
"Вісник Харківського національного університету імені В.Н. Каразіна. Серія: Соціологічні дослідження сучасного суспільства: методологія, теорія, методи",2227-6521,,"English, Russian, Ukrainian",V. N. Karazin Kharkiv National University,No,CC BY,No
Revista Valore,2525-9008,2526-043X,Portuguese,Faculdade Sul Fluminense,No,CC BY,No
Revista Chilena de Relaciones Internacionales,,0719-8256,Spanish,Sociedad de Historia de Valparaiso,No,CC BY-NC-ND,No
Journal of International Social Studies,,2327-3585,English,International Assembly of the National Council of the Social Studies,No,Publisher's own license,No
Agrarian,,1984-2538,Portuguese,Universidade Federal da Grande Dourados,No,CC BY-NC-SA,No
"3L Language, Linguistics and Literature: The Southeast Asian Journal of English Language Studies",0128-5157,,English,Penerbit UKM,No,CC BY,Yes
Revista de la Facultad de Medicina Humana,1814-5469,2308-0531,Spanish,Universidad Ricardo Palma,No,CC BY,No
Pensamiento Educativo: Revista de Investigación Educacional Latinoamericana,,0719-0409,Spanish,Pontificia Universidad Católica de Chile,No,CC BY,No
Indonesian Journal for Health Sciences,2549-2721,2549-2748,Indonesian,Universitas Muhammadiyah Ponorogo,No,CC BY-SA,No
Siglo Cero,0210-1696,2530-0350,Spanish,Universidad de Salamanca,No,CC BY-NC-ND,No
Limbaj si Context,1857-4149,,"English, French, German, Romanian, Russian, Spanish",Presa Universitara Balteana,No,CC BY-ND,No
Boletim da Sociedade Paranaense de Matemática,0037-8712,2175-1188,"English, Portuguese",Sociedade Brasileira de Matemática,No,CC BY,No
Jurnal Geografi,2549-3078,2549-3094,"English, Indonesian",Universitas Negeri Semarang,No,CC BY,No
Magallanica: Revista de Historia Moderna,,2422-779X,Spanish,Universidad Nacional de Mar del Plata,No,CC BY-NC-SA,No
Lindbergia,,2001-5909,English,Oikos Editorial Office,No,CC BY,No
Acta Medica Academica,1840-1848,1840-2879,English,Academy of Sciences and Arts of Bosnia and Herzegovina,No,CC BY-NC,No
Revista Brasileira de Estudos da Presença,,2237-2660,"English, French, Portuguese, Spanish",Universidade Federal do Rio Grande do Sul,No,CC BY,No
Revista Agrogeoambiental,1984-428X,2316-1817,"English, Portuguese","Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais",No,CC BY,No
Comparative Cinema,,2014-8933,"Spanish, English, Catalan",Universitat Pompeu Fabra,No,CC BY-NC-ND,No
Akuisisi,1978-6581,2477-2984,"English, Indonesian",Universitas Muhammadiyah Metro,No,CC BY,Yes
Scholarpedia,,1941-6016,English,Scholarpedia Corporation,No,CC BY-NC-SA,No
Sultan Qaboos University Journal for Science,,2414-536X,English,Sultan Qaboos University,No,CC BY,No
STIPM (STI Policy and Management) Journal,2540-9786,2502-5996,"English, Indonesian",Indonesian Institute of Sciences,No,CC BY-NC-SA,No
Soepra: Jurnal Hukum Kesehatan,,2548-818X,Indonesian,Soegijapranata Catholic University,No,CC BY,No
"Barents Studies: Peoples, Economies and Politics",,2324-0652,English,University of Lapland,No,CC BY-NC,No
Anuari de Filologia: Literatures Contemporànies,,2014-1416,"Catalan, English, German, Spanish",Universitat de Barcelona,No,CC BY,No
Oral Health and Preventive Dentistry,1602-1622,1757-9996,English,Quintessenz Verlags-GmbH,No,CC BY,Yes
Edukacyjna Analiza Transakcyjna,2299-7466,2658-1825,"English, Polish",Jan Długosz University in Częstochowa,No,CC BY,No
Acque Sotterranee,1828-454X,2280-6458,"English, Italian",PAGEPress Publications,No,CC BY-NC,No
Kínesis,,1984-8900,Portuguese,Universidade Estadual Paulista (UNESP),No,CC BY-NC-SA,No
Dilemas: Revista de Estudos de Conflito e Controle Social,1983-5922,2178-2792,"Portuguese, Spanish",Universidade Federal do Rio de Janeiro,No,CC BY,No
Вісник Харківського Національного Університету Імені В.Н. Каразіна: Серія Біологія,2075-5457,2220-9697,"Russian, Ukrainian",V. N. Karazin Kharkiv National University,No,CC BY,No
Royal Society Open Science,,2054-5703,English,The Royal Society,Yes,CC BY,Yes
Jurnal Pesona,2356-2080,2356-2072,Indonesian,Universitas Muhammadiyah Pringsewu,No,CC BY-SA,Yes
Euclid,2355-1712,2541-4453,Indonesian,Universitas Swadaya Gunung Jati,No,CC BY-SA,No
Journal of Studies in Social Sciences and Humanities,,2413-9270,English,International Educational and Social Sciences Association (IESSA),No,CC BY-NC,Yes
Revista Turismo & Cidades,,2674-6972,Portuguese,Universidade Federal do Maranhão,No,CC BY-NC-ND,No
Современные информационные технологии и IT-образование,2411-1473,,Russian,"The Fund for Promotion of Internet media, IT education, human development «League Internet Media»",No,CC BY,No
Geological Survey of Denmark and Greenland Bulletin,1604-8156,1904-4666,English,Geological Survey of Denmark and Greenland,Yes,CC BY,No
Journal of Math Circles,,2690-036X,English,Central Washington University,No,CC BY,No
Christian Journal for Global Health,,2167-2415,English,Health for All Nations,No,CC BY,No
پژوهش حسابداری,2251-8495,2538-1539,Persian,Alzahra University,No,CC BY-NC-ND,No
Megatrend Revija,1820-3159,2560-3329,"English, Serbian",University Dzon Nezbit,No,CC BY-SA,No
Journal of Innovation Management,,2183-0606,English,"Universidade do Porto, Faculdade de Engenharia (FEUP)",No,CC BY,No
Food and Feed Research,2217-5369,2217-5660,"English, Serbian","Institute for Food Technology, Novi Sad",No,CC BY,No
EntreDiversidades: Revista de Ciencias Sociales y Humanidades,2007-7602,2007-7610,Spanish,Universidad Autónoma de Chiapas,No,CC BY-NC-ND,No
Revista de Economia e Sociologia Rural,0103-2003,1806-9479,"English, Portuguese",Sociedade Brasileira de Economia e Sociologia Rural,No,CC BY,Yes
Cuadernos Geográficos,0210-5462,,"English, Spanish",Universidad de Granada,No,CC BY-NC,No
Critical Studies in Teaching and Learning,,2310-7103,English,University of the Western Cape,No,CC BY,Yes
Revista U.D.C.A Actualidad & Divulgación Científica,0123-4226,2619-2551,Spanish,Universidad de Ciencias Aplicadas y Ambientales,No,CC BY-NC,No
JHEP Reports,,2589-5559,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Revista Española de Salud Pública,1135-5727,,"English, Spanish",Ministerio de Sanidad y Consumo,No,CC BY-NC-ND,No
Share: Jurnal Ekonomi dan Keuangan Islam,2089-6239,2549-0648,"Arabic, English, Indonesian",Ar-Raniry State Islamic University of Aceh,No,CC BY-SA,Yes
Sudamérica,2250-7779,2314-1174,Spanish,Universidad Nacional de Mar del Plata,No,CC BY-NC-SA,No
Magallania,0718-0209,0718-2244,Spanish,Universidad de Magallanes,No,CC BY-NC,No
Advances in Forestry Science,,2357-8181,"English, Portuguese",Universidade Federal de Mato Grosso (UFMT),No,CC BY,No
Acta Herpetologica,1827-9635,1827-9643,English,Firenze University Press,No,CC BY,No
Journal of ICT Research and Applications,2337-5787,2338-5499,English,ITB Journal Publisher,No,CC BY-ND,Yes
Journal of Engineering Research and Technology,,2312-2307,English,Islamic Universty of Gaza,No,CC BY,No
Passagens,,1984-2503,"Portuguese, Spanish",Universidade Federal Fluminense (UFF),No,CC BY,No
Scriptorium,,2526-8848,Portuguese,Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS),No,CC BY,No
Cuadernos de Historia Moderna,0214-4018,1988-2475,Spanish,Universidad Complutense de Madrid,No,CC BY,No
Revista Cubana de Educación Superior,0257-4314,2518-2730,"English, Spanish",Universidad de La Habana,No,CC BY,No
"Turismo, Desarrollo y Buen Vivir. Revista de Investigación de la Ciencia Turística-RICIT",1390-6305,2588-0861,"Portuguese, English, Spanish",Centro de Investigación y Estudios Turísticos,No,CC BY-NC-SA,No
Журнал интегративных исследований культуры,,2687-1262,"French, German, English, Russian",Herzen State Pedagogical University of Russia,No,CC BY-NC,No
Outros Tempos,,1808-8031,"Portuguese, Spanish, English",Universidade Estadual do Maranhão,No,CC BY-NC-ND,No
Thanatos,,2242-6280,"English, Swedish, Finnish",Finnish Death Studies Association,No,CC BY-NC-ND,No
Journal of Applied Linguistics and Lexicography,,2687-0215,"Russian, English",Herzen State Pedagogical University of Russia,No,CC BY-NC,No
Revista Brasileira de Reumatologia,0482-5004,1809-4570,"English, Portuguese, Spanish",Sociedade Brasileira de Reumatologia,No,CC BY-NC-ND,No
Cuadernos de Investigación Urbanística,1886-6654,2174-5099,Spanish,Universidad Politécnica de Madrid,No,CC BY-NC-ND,No
Life Science Alliance,,2575-1077,English,Life Science Alliance LLC,No,CC BY,Yes
Redes,1414-7106,1982-6745,Portuguese,Universidade de Santa Cruz do Sul,No,CC BY,No
Jornal Brasileiro de Psiquiatria,0047-2085,1982-0208,"Portuguese, English",Universidade Federal do Rio de Janeiro,No,CC BY,No
Revista de Investigações Constitucionais,,2359-5639,"French, Spanish, Portuguese, English",Universidade Federal do Paraná,Yes,CC BY,No
Collabra: Psychology,,2474-7394,English,University of California Press,Yes,CC BY,Yes
Serviço Social em Revista,1516-3091,1679-4842,"Spanish, Portuguese, English",Universidade Estadual de Londrina (UEL),No,CC BY,No
Cadernos Cedes,0101-3262,1678-7110,"English, Portuguese","Centro de Estudos Educação e Sociedade, CEDES",No,CC BY-NC,No
English Education Journal,2087-0108,,English,Universitas Negeri Semarang,No,CC BY,Yes
Journal of International Legal Communication,,2720-1643,English,University of Warsaw,No,CC BY-NC-ND,Yes
Scripta Score Scientific Medical Journal,2088-8686,2686-0864,"English, Indonesian",Talenta Publisher,No,CC BY-NC,No
Икономика и компютърни науки,,2367-7791,"English, Bulgarian",Knowledge and business,No,CC BY,No
Quaestio Rossica,2311-911X,2313-6871,"English, Russian, French, German",Ural Federal University,No,CC BY,No
Gaceta Técnica,,2477-9539,"English, Spanish",Universidad Centroccidental Lisandro Alvarado,No,CC BY-NC-SA,No
Acta Mechatronica,,2453-7306,English,"4S go, s.r.o.",No,CC BY-NC,Yes
Acta Tecnología,,2453-675X,English,"4S go, s.r.o.",No,CC BY-NC,Yes
Journal of Human Resource Management,1335-3888,2453-7683,English,"Comenius University in Bratislava, Faculty of Management",No,Publisher's own license,No
Communications in Science and Technology,2502-9258,2502-9266,English,Komunitas Ilmuwan dan Profesional Muslim Indonesia,No,CC BY,No
نظریه‌های اجتماعی متفکران مسلمان,2538-5240,2783-3216,Persian,University of Tehran,No,CC BY,Yes
Alʹmanah Kliničeskoj Mediciny,2072-0505,2587-9294,Russian,MONIKI,No,CC BY,No
Organizacijų Vadyba: Sisteminiai Tyrimai,,2335-8750,English,Sciendo,No,CC BY-NC-ND,No
Polish Journal of Chemical Technology,,1899-4741,English,Sciendo,No,CC BY,Yes
Acta Medica Bulgarica,0324-1750,2719-5384,English,Sciendo,No,CC BY-NC-ND,No
Agriculture,,1338-4376,English,Sciendo,No,CC BY-NC-ND,No
Minikomi,2706-7424,2706-7432,"English, German, Japanese",Akademische Arbeitskreis Japan – Österreichische Japan-Gesellschaft für Wissenschaft und Kunst (AAJ) [Austrian Japan-Society for Science and Art],No,"CC BY, CC BY-SA, CC BY-ND, CC BY-NC, CC BY-NC-SA, CC BY-NC-ND",No
Journal of Liver Cancer,2288-8128,2383-5001,English,Korean Liver Cancer Association,No,CC BY-NC,No
Perinatology,2508-4887,2508-4895,"English, Korean",Korean Society of Perinatology,No,CC BY-NC,Yes
Ludic Language Pedagogy,,2435-2349,English,James York,No,CC BY-NC-ND,No
Acta Geographica Universitatis Comenianae,1338-6034,,"Slovak, English, Czech",Comenius University in Bratislava,No,Publisher's own license,No
Cuadernos de Antropología,1409-3138,2215-356X,"Spanish, English",Universidad de Costa Rica,No,CC BY-NC-SA,No
Rhema. Рема,2500-2953,,"Russian, English","Moscow Pedagogical State University, Federal State Budgetary Educational Institution of Higher Education",No,CC BY,No
Pennsylvania Libraries: Research & Practice,,2324-7878,English,"University Library System, University of Pittsburgh",Yes,CC BY,No
Emerging Markets Journal,,2158-8708,English,"University Library System, University of Pittsburgh",Yes,CC BY,No
Central Asian Journal of Global Health,,2166-7403,English,"University Library System, University of Pittsburgh",Yes,CC BY,No
Jurnal Wilayah dan Lingkungan,2338-1604,2407-8751,"Indonesian, English",Diponegoro University,No,CC BY-NC-SA,No
The Pan African Medical Journal,,1937-8688,"English, French",The Pan African Medical Journal,No,CC BY,Yes
Mana,0104-9313,1678-4944,"English, Portuguese",Universidade Federal do Rio de Janeiro,No,CC BY-NC,No
Versants,,2504-2750,"French, Spanish, Italian",Bern Open Publishing,No,CC BY,No
Argumenta,,2465-2334,English,University of Sassari,No,CC BY-NC-ND,No
"Foot & Ankle Surgery: Techniques, Reports & Cases",,2667-3967,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Oftalʹmologiâ,1816-5095,2500-0845,Russian,Ophthalmology Publishing Group,No,CC BY,No
JKAP (Jurnal Kebijakan dan Administrasi Publik),0852-9213,2477-4693,Indonesian,Universitas Gadjah Mada,No,CC BY-SA,Yes
"e-Prime: Advances in Electrical Engineering, Electronics and Energy",,2772-6711,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Lisan Al-Arab: Journal of Arabic Language and Arabic,2252-6269,,"Indonesian, Arabic",Universitas Negeri Semarang,No,CC BY,No
Jurnal Bimbingan Konseling,2252-6889,,Indonesian,Universitas Negeri Semarang,No,CC BY,Yes
Light: Advanced Manufacturing,2689-9620,,English,Light Publishing Group,No,CC BY,No
Médecine Tropicale et Santé Internationale (MTSI),,2778-2034,"English, French",Société francophone de médecine tropicale et santé internationale (ancienne SPE),No,CC BY,No
Gagasan Pendidikan Indonesia,2721-9240,2722-0982,English,"Fakultas Keguruan dan Ilmu Pendidikan, Universitas Sultan Ageng Tirtayasa",No,CC BY,No
Tataloka,0852-7458,2356-0266,"Indonesian, English",Diponegoro University,No,CC BY-NC-SA,No
Religio Education,2776-3366,2776-3285,English,Universitas Pendidikan Indonesia,No,CC BY-SA,No
Dental Journal,1978-3728,2442-9740,English,Universitas Airlangga,No,CC BY-SA,Yes
Arquivos Brasileiros de Cardiologia,0066-782X,1678-4170,"English, Portuguese",Sociedade Brasileira de Cardiologia (SBC),No,CC BY-NC,No
روانشناسی و روانپزشکی شناخت,2588-6657,2476-2962,Persian,Kurdistan University of Medical Scienses,No,CC BY-NC,No
Korean Journal of Women Health Nursing,2287-1640,2093-7695,"Korean, English",Korean Society of Women Health Nursing,No,CC BY,Yes
Environmental & Socio-economic Studies,,2354-0079,English,Sciendo,No,CC BY,No
Journal of Anime and Manga Studies,,2689-2596,English,University of Illinois at Urbana-Champaign,No,CC BY-NC,No
Uniped,,1893-8981,"Swedish, Norwegian, English, Danish",Universitetsforlaget,No,CC BY,No
Clinical Immunology Communications,,2772-6134,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Journal of Agromedicine and Medical Sciences (AMS),2460-9048,2714-5654,"English, Indonesian","University of Jember, Faculty of Medicine",No,CC BY-SA,No
Сибирский онкологический журнал,1814-4861,2312-3168,Russian,"Russian Academy of Sciences, Tomsk National Research Medical Center",No,CC BY,No
Applied Research on Civil Engineering and Environment,,2714-6553,English,Politeknik Negeri Jakarta,No,CC BY-SA,No
Psique,,2183-4806,"Portuguese, Spanish, French, English",CIP – Centro de Investigação em Psicologia da Universidade Autónoma de Lisboa (CIP),No,CC BY,No
Journal of Applied Economic Research,,2712-7435,"Russian, English",Ural Federal University,No,CC BY,No
Research in Arts and Education,,2670-2142,"Finnish, English",Aalto University,No,CC BY,No
Edusaintek,1858-005X,2655-3392,"English, Indonesian",STKIP PGRI Situbondo,No,CC BY-SA,Yes
Periskop,0908-6919,2596-4283,"English, Norwegian, Swedish, Danish",Foreningen Periskop - Forum for kunsthistorisk debat,No,CC BY,No
Makara Journal of Health Research,2356-3664,2356-3656,English,Universitas Indonesia,No,CC BY-SA,No
Botanica Pacifica,2226-4701,2410-3713,English,"FEB RAS, Botanical Garden-Institute",No,CC BY-NC,No
Perduli,,2962-2174,Indonesian,Fakultas Keguruan Dan Ilmu Kependidikan Universitas Negeri Jakarata,No,CC BY,No
American Studies in Scandinavia,0044-8060,,English,CBS Open Journals,No,CC BY-NC-ND,No
Известия высших учебных заведений России: Радиоэлектроника,1993-8985,2658-4794,Russian,"Saint Petersburg Electrotechnical University ""LETI""",Yes,CC BY,No
Nanomanufacturing,,2673-687X,English,MDPI AG,No,CC BY,Yes
Businesses,,2673-7116,English,MDPI AG,No,CC BY,Yes
Literature,,2410-9789,English,MDPI AG,No,CC BY,Yes
Computational Linguistics,0891-2017,1530-9312,English,The MIT Press,No,CC BY-NC-ND,No
Transactions of the Association for Computational Linguistics,,2307-387X,English,The MIT Press,No,CC BY,No
Revista Diálogos e Perspectivas em Educação Especial,2358-8845,2764-6440,Portuguese,Universidade Estadual Paulista Julio de Mesquita Filho,No,CC BY,No
Journal of Student Affairs in Africa,2311-1771,2307-6267,English,Journal of Student Affairs in Africa,No,CC BY-NC-SA,No
Bulletin of the Geological Society of Malaysia,0126-6187,,"Malay (macrolanguage), English",Geological Society of Malaysia,No,CC BY,No
Policy Perspectives,1085-7087,,English,George Washington University,No,CC BY-NC-ND,No
Métodos de Información,1134-2838,2173-1241,"Spanish, Catalan",Col·legi Oficial de Bibliotecaris i Documentalistes de la Comunitat Valenciana,No,CC BY,No
Teoría de la Educación: Revista Interuniversitaria,1130-3743,2386-5660,"Spanish, French, English",Ediciones Universidad de Salamanca,No,CC BY-NC-ND,No
Uporedno pomorsko pravo,0353-5487,,"Croatian, English",Hrvatska akademija znanosti i umjetnosti,No,CC BY-ND,No
Društvena Istraživanja,1330-0288,1848-6096,"English, Croatian",Institute of Social Sciences Ivo Pilar,No,CC BY-NC-ND,No
Вестник аритмологии,1561-8641,2658-7327,"Russian, English","NJSC Institute of Cardiology Technics «INCART», Saint-Petersburg",No,CC BY,No
Profile Issues in Teachers' Professional Development,1657-0790,2256-5760,English,Universidad Nacional de Colombia,No,CC BY-NC-ND,No
AAOU Journal,1858-3431,2414-6994,English,Emerald Publishing,No,CC BY,No
REME: Revista Mineira de Enfermagem,1415-2762,2316-9389,"Spanish, Portuguese, English",Universidade Federal de Minas Gerais,No,CC BY,Yes
